Dist Code,Year,State Code,State Name,Dist Name,Crop,Area_ha,Yield_kg_per_ha,N_req_kg_per_ha,P_req_kg_per_ha,K_req_kg_per_ha,Total_N_kg,Total_P_kg,Total_K_kg,Temperature_C,Humidity_%,pH,Rainfall_mm,Wind_Speed_m_s,Solar_Radiation_MJ_m2_day
83,2000,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,rice,225920.0,3385.27,84.63175,40.62324,74.47594,19120004.96,9177602.3808,16825604.3648,25,80,6.5,1200,2.0,18
83,2001,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,rice,229580.0,3487.02,87.1755,41.84424,76.71444,20013751.29,9606600.6192,17612101.135199998,25,80,6.5,1200,2.0,18
83,2002,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,rice,185180.0,3011.18,75.2795,36.13416,66.24596,13940257.81,6691323.7488,12267426.8728,25,80,6.5,1200,2.0,18
83,2003,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,rice,172060.0,2854.7,71.36749999999999,34.2564,62.8034,12279492.05,5894156.183999999,10805953.004,25,80,6.5,1200,2.0,18
83,2004,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,rice,168400.0,3010.69,75.26724999999999,36.12828,66.23518,12675004.9,6084002.351999999,11154004.312,25,80,6.5,1200,2.0,18
83,2005,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,rice,211710.0,2670.92,66.77300000000001,32.05104,58.76024,14136511.830000002,6785525.6784,12440130.4104,25,80,6.5,1200,2.0,18
83,2006,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,rice,192780.0,3701.63,92.54075,44.41956,81.43586,17840005.785,8563202.776800001,15699205.0908,25,80,6.5,1200,2.0,18
83,2007,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,rice,170070.0,3711.06,92.7765,44.53272,81.64331999999999,15778499.355,7573679.6904,13885079.432399996,25,80,6.5,1200,2.0,18
83,2008,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,rice,173110.0,3726.36,93.159,44.71632,81.97992,16126754.49,7740842.155200001,14191543.9512,25,80,6.5,1200,2.0,18
83,2009,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,rice,171960.0,3417.77,85.44425,41.01324,75.19094,14692993.23,7052636.750399999,12929834.0424,25,80,6.5,1200,2.0,18
83,2010,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,rice,178960.0,3513.86,87.8465,42.16632,77.30492000000001,15721009.64,7546084.6272,13834488.483200002,25,80,6.5,1200,2.0,18
83,2011,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,rice,169640.0,4176.2,104.405,50.1144,91.8764,17711264.2,8501406.816,15585912.495999996,25,80,6.5,1200,2.0,18
83,2012,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,rice,156120.0,4133.62,103.3405,49.60343999999999,90.93964,16133518.86,7744089.052799999,14197496.5968,25,80,6.5,1200,2.0,18
83,2013,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,rice,181390.0,4649.43,116.23575,55.79316000000001,102.28746,21084002.692500003,10120321.2924,18553922.3694,25,80,6.5,1200,2.0,18
83,2014,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,rice,158230.0,4525.69,113.14225,54.30828,99.56518,17902498.2175,8593199.144399999,15754198.4314,25,80,6.5,1200,2.0,18
83,2015,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,rice,199140.0,3758.66,93.9665,45.10392,82.69051999999999,18712488.81,8981994.628800001,16466990.1528,25,80,6.5,1200,2.0,18
